,Video.file,Group,Clip.duration,Trial,ID,Experienced,Start..secs.,Tot.start,End..secs.,Tot.end,Behav,Result,SawSuccess,SawInteraction,Attm,success,observe
193,HDV_1108,HI,907,3,GOR-RYX,Yes,268,5622,325,6101,AattemptD,0,0,0,1,0,0
165,HDV_1106,HI,450,3,GOR-RYX,Yes,422,4491,425,4916,BattemptD,0,0,0,1,0,0
167,HDV_1106,HI,450,3,GOR-RYX,Yes,425,4494,439,4930,AattemptD,0,0,0,1,0,0
192,HDV_1108,HI,907,3,KPV-GWX,No,268,5622,325,6101,OAattemptD,0,0,1,1,0,1
186,HDV_1108,HI,907,3,RGX-WPP,No,268,5622,325,6101,OAattemptD,0,0,1,1,0,1
194,HDV_1108,HI,907,3,RSB-GBX,No,350,5704,357,6133,BattemptD,0,0,0,1,0,0
188,HDV_1108,HI,907,3,RSB-GBX,No,639,5993,659,6435,BattemptD,0,0,0,1,0,0
164,HDV_1106,HI,450,3,XRB-GPG,No,422,4491,425,4916,OBattemptD,0,0,1,1,0,1
166,HDV_1106,HI,450,3,XRB-GPG,No,425,4494,439,4930,OAattemptD,0,0,1,1,0,1
189,HDV_1108,HI,907,3,XRB-GPG,No,639,5993,659,6435,OBattemptD,0,0,1,1,0,1
187,HDV_1108,HI,907,3,XRB-GPG,No,698,6052,737,6513,CattemptD,0,0,0,1,0,0
190,HDV_1108,HI,907,3,XRB-GPG,No,761,6115,779,6555,BattemptL,0,0,0,1,0,0
403,MAH00537,KI,1788,1,KBV-GKX,No,371,482,388,499,OBattemptL,0,0,1,1,0,1
377,MAH00537,KI,1788,1,KBV-GKX,No,824,935,827,938,Dpush,1,0,0,0,1,0
379,MAH00537,KI,1788,1,KBV-GKX,No,878,989,891,1002,Dpush,1,0,0,0,1,0
378,MAH00537,KI,1788,1,KBV-GKX,No,968,1079,974,1085,Dpush,1,0,0,0,1,0
376,MAH00537,KI,1788,1,OB-X,Yes,14,125,17,128,ODpush,0,1,0,0,0,1
336,MAH00535,KI,111,1,OB-X,Yes,32,32,45,45,ODpush,0,1,0,0,0,1
365,MAH00537,KI,1788,1,OB-X,Yes,44,155,46,157,ODpush,0,1,0,0,0,1
366,MAH00537,KI,1788,1,OB-X,Yes,48,159,57,168,AattemptD,0,0,0,1,0,0
