,Video.file,Group,Clip.duration,Trial,ID,Experienced,Start..secs.,Tot.start,End..secs.,Tot.end,Behav,Result,SawSuccess,SawInteraction,Attm,success,observe
478,MAH00543,TK,918,1,OOM-XRR,Yes,241,2031,272,2062,OAattemptD,0,0,1,1,0,1
484,MAH00543,TK,918,1,OOM-XRR,Yes,277,2067,283,2073,Dpush,1,0,0,0,1,0
440,MAH00542,TK,1790,1,OOM-XRR,Yes,371,371,378,378,Dpush,1,0,0,0,1,0
455,MAH00542,TK,1790,1,OOM-XRR,Yes,389,389,399,399,Dpush,1,0,0,0,1,0
472,MAH00543,TK,918,1,OOM-XRR,Yes,420,2210,428,2218,Dpush,1,0,0,0,1,0
483,MAH00543,TK,918,1,OOM-XRR,Yes,505,2295,507,2297,Ascrounge,1,0,0,0,0,0
450,MAH00542,TK,1790,1,OOM-XRR,Yes,528,528,534,534,ODpush,0,1,0,0,0,1
462,MAH00542,TK,1790,1,OOM-XRR,Yes,534,534,571,571,Dpush,1,0,0,0,1,0
424,MAH00542,TK,1790,1,OOM-XRR,Yes,569,569,576,576,ODpush,0,1,0,0,0,1
465,MAH00543,TK,918,1,OOM-XRR,Yes,582,2372,585,2375,Ascrounge,1,0,0,0,0,0
463,MAH00543,TK,918,1,OOM-XRR,Yes,585,2375,596,2386,BattemptL,0,0,0,1,0,0
448,MAH00542,TK,1790,1,OOM-XRR,Yes,599,599,603,603,ODpush,0,1,0,0,0,1
