ID,repetition,date,age_yn,age,sul,sex,head_s,jump_s,stop_s,speedreach_cms,head_yn,jump_yn,stop_yn,silence,jump,areas,distance,go.in.box,time.in.shelter,territory,females,neighbours,habitat,habitat2
i18-m-054,1,12.02.19,1,2,2.945,m,223,300,,0.000,1,0,0,0,0,2,71.89,1,0.50,188.43,8,5,85.99,85.99
i18-m-054,2,21.02.19,1,2,2.945,m,143,300,,0.000,1,0,0,0,1,1,169.06,1,762.25,135.77,8,5,,85.99
i18-m-054,3,21.03.19,1,2,2.945,m,3,4,126,1.587,1,1,1,1,0,0,0.00,1,1.01,235.60,9,6,,85.99
i18-m-055,1,10.03.19,1,2,3.096,m,50,54,100,2.000,1,1,1,1,5,5,422.85,1,35.78,432.73,4,4,88.50,88.50
i18-m-055,2,20.03.19,1,2,3.096,m,7,10,59,3.390,1,1,1,1,21,11,1578.16,1,193.30,161.48,4,3,,88.50
i18-m-055,3,31.03.19,1,2,3.096,m,1,3,126,1.587,1,1,1,1,18,13,1943.31,1,256.50,133.76,3,3,,88.50
i18-m-059,1,23.02.19,1,2,2.863,m,300,300,,0.000,0,0,0,0,16,21,2273.13,1,98.09,932.00,6,3,85.79,85.79
i18-m-061,1,09.03.19,1,2,2.924,m,6,9,106,1.887,1,1,1,1,23,24,3458.72,1,75.06,519.49,4,3,72.60,72.60
i18-m-061,2,17.03.19,1,2,2.924,m,4,8,35,5.714,1,1,1,1,5,12,1400.90,1,733.40,629.95,4,4,,72.60
i18-m-061,3,24.03.19,1,2,2.924,m,5,29,84,2.381,1,1,1,1,6,6,483.01,1,93.84,598.09,4,4,,72.60
i18-m-061,4,01.04.19,1,2,2.924,m,3,12,58,3.448,1,1,1,0,12,20,2437.62,1,177.18,521.16,4,6,,72.60
i18-m-061,5,21.04.19,1,2,2.924,m,4,29,59,3.390,1,1,1,0,16,14,1944.14,1,47.52,1050.62,6,5,,72.60
i18-m-064,1,22.02.19,1,2,3.071,m,7,8,55,3.636,1,1,1,0,29,23,3468.09,1,71.58,314.50,9,6,88.64,88.64
i18-m-064,2,06.03.19,1,2,3.071,m,6,218,,0.000,1,1,0,0,11,10,1034.74,1,253.25,296.88,8,6,,88.64
i18-m-064,3,19.03.19,1,2,3.071,m,226,300,,0.000,1,0,0,0,,,,,,268.88,7,5,,88.64
i18-m-064,4,24.03.19,1,2,3.071,m,13,128,,0.000,1,1,0,0,26,13,1530.89,1,741.00,740.09,8,7,,88.64
i18-m-064,5,16.04.19,1,2,3.071,m,5,54,128,1.563,1,1,1,0,18,16,2101.88,1,782.81,1142.17,7,8,,88.64
i18-m-066,1,12.03.19,1,2,2.884,m,3,4,50,4.000,1,1,1,0,11,13,1597.49,1,645.65,1144.33,7,3,76.81,76.81
i18-m-066,2,27.03.19,1,2,2.884,m,31,122,193,1.036,1,1,1,1,9,13,1624.10,1,900.00,2171.60,9,5,,76.81
i18-m-066,3,10.04.19,1,2,2.884,m,2,4,50,4.000,1,1,1,0,2,2,561.98,1,669.16,2105.16,9,4,,76.81
i18-m-077,1,13.03.19,1,2,3.078,m,12,17,62,3.226,1,1,1,1,27,25,3051.40,1,636.63,334.89,1,3,75.87,75.87
i18-m-077,2,17.03.19,1,2,3.078,m,3,9,34,5.882,1,1,1,1,5,6,567.04,1,30.00,346.47,2,2,,75.87
i18-m-077,3,24.03.19,1,2,3.078,m,2,3,51,3.922,1,1,1,1,19,21,1988.79,1,241.74,397.54,2,2,,75.87
i18-m-078,1,10.03.19,1,2,2.893,m,300,300,,0.000,0,0,0,0,0,0,0.00,0,900.00,1046.73,4,5,86.08,86.08
i18-m-078,2,20.03.19,1,2,2.893,m,3,7,,0.000,1,1,0,0,0,0,0.00,0,900.00,1383.66,5,5,,86.08
i18-m-078,3,31.03.19,1,2,2.893,m,9,29,112,1.786,1,1,1,1,0,0,0.00,0,900.00,1622.95,5,7,,86.08
i18-m-079,1,22.03.19,1,2,2.785,m,1,2,,0.000,1,1,0,1,0,0,0.00,0,900.00,554.27,12,7,74.32,74.32
i18-m-079,2,07.04.19,1,2,2.785,m,5,12,81,2.469,1,1,1,1,10,15,1531.78,1,86.25,558.71,13,5,,74.32
i18-m-079,3,14.04.19,1,2,2.785,m,6,8,63,3.175,1,1,1,1,26,26,2497.60,1,824.28,597.76,13,4,,74.32
i18-m-080,1,07.03.19,1,2,2.652,m,2,3,106,1.887,1,1,1,1,14,12,1646.12,1,900.00,697.04,11,9,88.25,88.25
i18-m-080,2,15.03.19,1,2,2.652,m,2,3,105,1.905,1,1,1,0,,,,,,574.65,11,7,,88.25
i18-m-080,3,21.03.19,1,2,2.652,m,7,29,176,1.136,1,1,1,1,0,1,139.57,1,2.00,435.98,10,8,,88.25
i18-m-081,1,25.03.19,1,2,2.981,m,5,7,84,2.381,1,1,1,1,15,18,2218.37,1,149.64,945.19,4,4,97.48,97.48
i18-m-081,2,27.03.19,1,2,2.981,m,6,9,54,3.704,1,1,1,1,7,8,1085.03,1,205.70,975.78,4,5,,97.48
i18-m-081,3,15.04.19,1,2,2.981,m,6,9,92,2.174,1,1,1,1,22,21,2733.31,1,136.44,,,,,97.48
i18-m-082,1,13.02.19,1,2,2.851,m,3,6,129,1.550,1,1,1,0,0,0,0.00,0,900.00,360.20,1,4,91.81,91.81
