bird_id,bird,year,sex,cohort,age,tarsus,weight,body_cond,handling,ret_latency,time,time_minutes,session,in_ses_trial,cumul_site,distance,angle,height,worms_ate,,
2,Cersei,2021,0,2014,7,34.15,28.3,0.828696925,28.001,,9:47,587,3,1,6,6,30,1.9,,,
2,Cersei,2021,0,2014,7,34.15,28.3,0.828696925,9.75,,9:47,587,3,2,2,2.5,44,2.3,,,
2,Cersei,2021,0,2014,7,34.15,28.3,0.828696925,5.501,,9:47,587,3,3,2,2.5,44,2.3,,,
2,Cersei,2021,0,2014,7,34.15,28.3,0.828696925,16.754,,9:47,587,3,4,7,6,12,3.3,,,
2,Cersei,2021,0,2014,7,34.15,28.3,0.828696925,25.008,,9:47,587,3,5,7,6,12,3.3,,,
3,Roxanne,2020,0,2018,2,32.4,28.5,0.87962963,9.501,14,12:33,753,1,1,1,5,229,2.8,7,,
3,Roxanne,2020,0,2018,2,32.4,28.5,0.87962963,13.496,14,12:33,753,1,2,2,6,110,2.4,7,,
3,Roxanne,2020,0,2018,2,32.4,28.5,0.87962963,8.506,14,12:33,753,1,3,2,6,110,2.4,7,,
3,Roxanne,2020,0,2018,2,32.4,28.5,0.87962963,9.756,14,12:33,753,1,4,2,6,110,2.4,7,,
3,Roxanne,2020,0,2018,2,32.4,28.5,0.87962963,21.011,14,12:33,753,1,5,3,14,100,1.6,7,,
3,Roxanne,2020,0,2018,2,32.4,29.5,0.910493827,10.749,17,13:54,834,2,1,1,7,182,2.8,10,,
3,Roxanne,2020,0,2018,2,32.4,29.5,0.910493827,11.997,17,13:54,834,2,2,4,10,49,3.3,10,,
3,Roxanne,2020,0,2018,2,32.4,29.5,0.910493827,32.249,17,13:54,834,2,3,4,10,49,3.3,10,,
3,Roxanne,2020,0,2018,2,32.4,29.5,0.910493827,15.999,17,13:54,834,2,4,1,7,182,2.8,10,,
3,Roxanne,2020,0,2018,2,32.4,29.5,0.910493827,16.012,17,13:54,834,2,5,5,7,35,1.2,10,,
3,Roxanne,2020,0,2018,2,32.4,28.9,0.891975309,37.748,11,11:21,681,3,1,6,10,14,3.9,7,,
3,Roxanne,2020,0,2018,2,32.4,28.9,0.891975309,21.507,11,11:21,681,3,2,7,8,28,5,7,,
3,Roxanne,2020,0,2018,2,32.4,28.9,0.891975309,14.76,11,11:21,681,3,3,2,8,155,2.4,7,,
3,Roxanne,2020,0,2018,2,32.4,28.9,0.891975309,8.25,11,11:21,681,3,4,8,6,27,4.1,7,,
3,Roxanne,2020,0,2018,2,32.4,28.9,0.891975309,38.27,11,11:21,681,3,5,6,10,14,3.9,7,,
3,Roxanne,2021,0,2018,3,32.4,28.3,0.87345679,29.239,,10:19,619,1,1,1,11,20,1.8,,,
3,Roxanne,2021,0,2018,3,32.4,28.3,0.87345679,22.747,,10:19,619,1,2,2,5,90,1.1,,,
3,Roxanne,2021,0,2018,3,32.4,28.3,0.87345679,36.757,,10:19,619,1,3,3,8,76,3.4,,,
3,Roxanne,2021,0,2018,3,32.4,28.3,0.87345679,8.251,,10:19,619,1,4,1,11,20,1.8,,,
3,Roxanne,2021,0,2018,3,32.4,28.3,0.87345679,9.25,,10:19,619,1,5,3,8,76,3.4,,,
3,Roxanne,2021,0,2018,3,32.4,28.7,0.885802469,11.746,,10:22,622,2,1,3,8,76,3.4,,,
3,Roxanne,2021,0,2018,3,32.4,28.7,0.885802469,17.495,,10:22,622,2,2,2,5,90,1.1,,,
3,Roxanne,2021,0,2018,3,32.4,28.7,0.885802469,10.498,,10:22,622,2,3,3,8,76,3.4,,,
3,Roxanne,2021,0,2018,3,32.4,28.7,0.885802469,7.249,,10:22,622,2,4,4,3.8,120,2.2,,,
3,Roxanne,2021,0,2018,3,32.4,28.7,0.885802469,11.5,,10:22,622,2,5,1,11,20,1.8,,,
3,Roxanne,2021,0,2018,3,32.4,27.6,0.851851852,7.005,,10:48,648,3,1,3,8,76,3.4,,,
3,Roxanne,2021,0,2018,3,32.4,27.6,0.851851852,4.75,,10:48,648,3,2,4,3.8,120,2.2,,,
3,Roxanne,2021,0,2018,3,32.4,27.6,0.851851852,8.849,,10:48,648,3,3,1,11,20,1.8,,,
3,Roxanne,2021,0,2018,3,32.4,27.6,0.851851852,4.987,,10:48,648,3,4,5,7,25,1.9,,,
3,Roxanne,2021,0,2018,3,32.4,27.6,0.851851852,5.507,,10:48,648,3,5,1,11,20,1.8,,,
4,Spark,2020,1,2014,6,32.7,30,0.917431193,19.001,10,9:32,572,1,1,1,3.2,288,0.9,4,,
4,Spark,2020,1,2014,6,32.7,30,0.917431193,21.798,10,9:32,572,1,2,1,3.2,288,0.9,4,,
4,Spark,2020,1,2014,6,32.7,30,0.917431193,23.754,10,9:32,572,1,3,2,5,225,4.3,4,,
4,Spark,2020,1,2014,6,32.7,30,0.917431193,8.752,10,9:32,572,1,4,2,5,225,4.3,4,,
4,Spark,2020,1,2014,6,32.7,30,0.917431193,19.261,10,9:32,572,1,5,3,1.5,312,1.4,4,,
4,Spark,2020,1,2014,6,32.7,28.9,0.883792049,15.011,11,10:29,629,2,1,4,3.6,198,2.5,5,,
4,Spark,2020,1,2014,6,32.7,28.9,0.883792049,9.744,11,10:29,629,2,2,4,3.6,198,2.5,5,,
4,Spark,2020,1,2014,6,32.7,28.9,0.883792049,8.752,11,10:29,629,2,3,4,3.6,198,2.5,5,,
4,Spark,2020,1,2014,6,32.7,28.9,0.883792049,32.499,11,10:29,629,2,4,5,7,321,5,5,,
4,Spark,2020,1,2014,6,32.7,28.9,0.883792049,9.001,11,10:29,629,2,5,4,3.6,198,2.5,5,,
4,Spark,2020,1,2014,6,32.7,29.2,0.892966361,14.998,16,9:41,581,3,1,6,5,176,1.8,3,,
4,Spark,2020,1,2014,6,32.7,29.2,0.892966361,31.749,16,9:41,581,3,2,7,8,260,1,3,,
4,Spark,2020,1,2014,6,32.7,29.2,0.892966361,5.255,16,9:41,581,3,3,6,5,176,1.8,3,,
4,Spark,2020,1,2014,6,32.7,29.2,0.892966361,12.255,16,9:41,581,3,4,6,5,176,1.8,3,,
4,Spark,2020,1,2014,6,32.7,29.2,0.892966361,6.502,16,9:41,581,3,5,6,5,176,1.8,3,,
4,Spark,2021,1,2014,7,32.7,27.8,0.850152905,4.751,,9:41,581,1,1,1,2.6,188,1.3,,,
4,Spark,2021,1,2014,7,32.7,27.8,0.850152905,5.247,,9:41,581,1,2,1,2.6,188,1.3,,,
4,Spark,2021,1,2014,7,32.7,27.8,0.850152905,3,,9:41,581,1,3,1,2.6,188,1.3,,,
4,Spark,2021,1,2014,7,32.7,27.8,0.850152905,4,,9:41,581,1,4,1,2.6,188,1.3,,,
4,Spark,2021,1,2014,7,32.7,27.8,0.850152905,3.75,,9:41,581,1,5,1,2.6,188,1.3,,,
4,Spark,2021,1,2014,7,32.7,28.3,0.865443425,8.249,,9:36,576,2,1,1,2.6,188,1.3,,,
4,Spark,2021,1,2014,7,32.7,28.3,0.865443425,2.75,,9:36,576,2,2,1,2.6,188,1.3,,,
4,Spark,2021,1,2014,7,32.7,28.3,0.865443425,3.5,,9:36,576,2,3,1,2.6,188,1.3,,,
4,Spark,2021,1,2014,7,32.7,28.3,0.865443425,3.006,,9:36,576,2,4,1,2.6,188,1.3,,,
4,Spark,2021,1,2014,7,32.7,28.3,0.865443425,3.249,,9:36,576,2,5,1,2.6,188,1.3,,,
4,Spark,2021,1,2014,7,32.7,28,0.856269113,3.248,,10:05,605,3,1,1,2.6,188,1.3,,,
4,Spark,2021,1,2014,7,32.7,28,0.856269113,2.501,,10:05,605,3,2,1,2.6,188,1.3,,,
