ID,SESSION,SPP,SKY_COND,TRT,GRID,PROP.1,PROP.3,PROP.6,PROP.9,X1ST.CHOICE,REMOVE,CONS,RECOVERED..Y.N.,CACHE_SITE,SEED_FATE,DIST..MOVED,SIZE.REM,AGE,Net_weight,SEX,REP,HANDLING,Mean.speed,Prop.time.groom,Rear...rate,Prop.time.center,CI,LATENCY.TO.EMERGE..sec..y,TIME.AT.END.OF.TUNNEL..sec..y,DISTANCE_TO_BARYCENTER,CONES,SHRUBS,METERS.CWD,X.CANOPY,ILLUMINATION_PERCENT,Degree_uncertainty
982000409789249,3,PM,0.40527296,EA,7A,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391225243,-0.63390741,-1.123359656,-1.334797186,1.561458415,1
982000409789249,3,PM,0.40527296,EA,7A,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391225243,-0.63390741,-1.123359656,-1.334797186,1.561458415,0
982000409789249,3,PM,0.40527296,EA,7A,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391225243,-0.63390741,-1.123359656,-1.334797186,1.561458415,1
982000409789249,3,PM,0.40527296,EA,7A,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391225243,-0.63390741,-1.123359656,-1.334797186,1.561458415,0
982000410167480,2,PM,0.40527296,SH,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,AD,18.5,M,YES,2.004555048,-1.197017207,-0.241081135,-0.761524205,-0.61388325,18.98040082,1.435164101,1.403921375,2.133269894,-0.33363693,-0.425467412,-0.260334998,-0.420416263,-1.024927509,0
982000410167480,2,PM,0.40527296,SH,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,AD,18.5,M,YES,2.004555048,-1.197017207,-0.241081135,-0.761524205,-0.61388325,18.98040082,1.435164101,1.403921375,2.133269894,-0.33363693,-0.425467412,-0.260334998,-0.420416263,-1.024927509,1
982000410167491,2,PM,1.197037937,SH,10,1,0.5,0.5,1,3,0,1,NA,NA,NA,NA,NA,AD,20,M,YES,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,13.69129795,-1.671646379,-1.376425736,0.509600794,-0.33363693,-0.321247413,0.063299249,-1.987926409,-0.590572621,1
982000410167491,2,PM,1.197037937,SH,10,1,0.5,0.5,1,9,1,0,Y,HOLE,2,875,9,AD,20,M,YES,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,13.69129795,-1.671646379,-1.376425736,0.509600794,-0.33363693,-0.321247413,0.063299249,-1.987926409,-0.590572621,0
982000410167491,2,PM,1.197037937,SH,10,1,0.5,0.5,0.5,9,NA,NA,Y,CWD,2,750,9,AD,20,M,YES,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,13.69129795,-1.671646379,-1.376425736,0.509600794,-0.33363693,-0.321247413,0.063299249,-1.987926409,-0.590572621,1
982000410167491,2,PM,1.197037937,SH,10,1,0.5,0.5,0,6,NA,NA,Y,TREE BASE,2,735,6,AD,20,M,YES,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,13.69129795,-1.671646379,-1.376425736,0.509600794,-0.33363693,-0.321247413,0.063299249,-1.987926409,-0.590572621,1
982000410167491,2,PM,1.197037937,SH,10,1,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,AD,20,M,YES,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,13.69129795,-1.671646379,-1.376425736,0.509600794,-0.33363693,-0.321247413,0.063299249,-1.987926409,-0.590572621,1
982000410167491,2,PM,0.40527296,SH,10,0.5,1,0.5,1,9,1,0,Y,CWD,1,35,9,AD,20,M,YES,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,13.69129795,-1.671646379,-1.376425736,0.050858609,-0.33363693,-0.425467412,-0.260334998,-0.420416263,-0.843946305,1
982000410167491,2,PM,0.40527296,SH,10,0.5,1,0.5,0.5,3,0,1,NA,NA,NA,NA,NA,AD,20,M,YES,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,13.69129795,-1.671646379,-1.376425736,0.050858609,-0.33363693,-0.425467412,-0.260334998,-0.420416263,-0.843946305,1
982000410167491,2,PM,0.40527296,SH,10,1,0.5,0.5,0.5,9,0,1,NA,NA,NA,NA,NA,AD,20,M,YES,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,13.69129795,-1.671646379,-1.376425736,2.67872016,-0.33363693,-0.529687411,0.279055414,0.102087111,-1.113772827,0
982000410167491,2,PM,-1.178256995,SH,10,1,0.5,1,0.5,6,0,1,NA,NA,NA,NA,NA,AD,20,M,YES,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,13.69129795,-1.671646379,-1.376425736,2.67872016,-0.33363693,-0.529687411,0.279055414,0.102087111,-1.113772827,0
982000410167491,2,PM,-1.178256995,SH,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,AD,20,M,YES,1.745107979,-1.486208687,1.975861839,-1.525059,-1.132476571,13.69129795,-1.671646379,-1.376425736,0.050858609,-0.33363693,-0.425467412,-0.260334998,-0.420416263,-1.113772827,0
