"","ID","Time1","Time2","observe","Attm","success","Group","testVal"
"117","KPV-GWX",1204,1290,0,0,0,"HI",0
"118","KPV-GWX",1290,1302,0,0,0,"HI",0
"119","KPV-GWX",1302,1399,0,0,0,"HI",0
"120","KPV-GWX",1399,1427,0,0,0,"HI",0
"121","KPV-GWX",1427,1437,0,0,0,"HI",0
"122","KPV-GWX",1437,1462,0,0,0,"HI",0
"123","KPV-GWX",1462,1481,0,0,0,"HI",0
"124","KPV-GWX",1481,1509,0,0,0,"HI",0
"125","KPV-GWX",1509,1528,0,0,0,"HI",0
"126","KPV-GWX",1528,1558,0,0,0,"HI",0
"127","KPV-GWX",1558,1568,0,0,0,"HI",0
"128","KPV-GWX",1568,1580,0,0,0,"HI",0
"129","KPV-GWX",1580,1815,0,0,0,"HI",0
"130","KPV-GWX",1815,1853,0,0,0,"HI",0
"131","KPV-GWX",1853,2023,0,0,0,"HI",0
"132","KPV-GWX",2023,2062,0,0,0,"HI",0
"133","KPV-GWX",2062,2386,0,0,0,"HI",0
"134","KPV-GWX",2386,2392,0,0,0,"HI",0
"135","KPV-GWX",2392,2407,0,0,0,"HI",0
"136","KPV-GWX",2407,2599,0,0,0,"HI",0
"137","KPV-GWX",2599,2608,0,0,0,"HI",0
"138","KPV-GWX",2608,2617,0,0,0,"HI",0
"139","KPV-GWX",2617,2665,0,0,0,"HI",0
"140","KPV-GWX",2665,2695,0,0,0,"HI",0
"141","KPV-GWX",2695,2826,0,0,0,"HI",0
"142","KPV-GWX",2826,2888,0,0,0,"HI",0
"143","KPV-GWX",2888,2929,0,0,0,"HI",0
"144","KPV-GWX",2929,2943,0,0,0,"HI",0
"145","KPV-GWX",2943,3102,0,0,0,"HI",0
"146","KPV-GWX",3102,3113,0,0,0,"HI",0
"147","KPV-GWX",3113,3138,0,0,0,"HI",0
"148","KPV-GWX",3138,3153,0,0,0,"HI",0
"149","KPV-GWX",3153,3178,0,0,0,"HI",0
"150","KPV-GWX",3178,3204,0,0,0,"HI",0
"151","KPV-GWX",3204,3315,0,0,0,"HI",0
"152","KPV-GWX",3315,3334,0,0,0,"HI",0
"153","KPV-GWX",3334,3593,0,0,0,"HI",0
"154","KPV-GWX",3593,3857,0,0,0,"HI",0
"155","KPV-GWX",3857,3864,0,0,0,"HI",0
"156","KPV-GWX",3864,3885,0,0,0,"HI",0
"157","KPV-GWX",3885,3918,0,0,0,"HI",0
"158","KPV-GWX",3918,3937,0,0,0,"HI",0
"159","KPV-GWX",3937,3977,0,0,0,"HI",0
"160","KPV-GWX",3977,3990,0,0,0,"HI",0
"161","KPV-GWX",3990,4051,0,0,0,"HI",0
"162","KPV-GWX",4051,4055,0,0,0,"HI",0
"163","KPV-GWX",4055,4059,0,0,0,"HI",0
"164","KPV-GWX",4059,4114,0,0,0,"HI",0
"165","KPV-GWX",4114,4165,0,0,0,"HI",0
"166","KPV-GWX",4165,4467,0,0,0,"HI",0
"167","KPV-GWX",4467,4531,0,0,0,"HI",0
"168","KPV-GWX",4531,4732,0,0,0,"HI",0
"169","KPV-GWX",4732,4916,0,0,0,"HI",0
"170","KPV-GWX",4916,4930,0,0,0,"HI",0
"171","KPV-GWX",4930,4955,0,0,0,"HI",0
"172","KPV-GWX",4955,4964,0,0,0,"HI",0
"173","KPV-GWX",4964,4988,0,0,0,"HI",0
"174","KPV-GWX",4988,5034,0,0,0,"HI",0
"175","KPV-GWX",5034,5393,0,0,0,"HI",0
"176","KPV-GWX",5393,5480,0,0,0,"HI",0
"177","KPV-GWX",5480,5580,0,0,0,"HI",0
"178","KPV-GWX",5580,6101,0,1,0,"HI",0
"179","KPX-BSP",0,153,0,0,0,"UC",0
"180","KPX-BSP",153,284,0,0,0,"UC",0
"181","KPX-BSP",284,303,0,0,0,"UC",0
"182","KPX-BSP",303,325,0,0,0,"UC",0
"183","KPX-BSP",325,343,0,0,0,"UC",0
"184","KPX-BSP",343,386,0,0,0,"UC",0
"185","KPX-BSP",386,388,0,0,0,"UC",0
"186","KPX-BSP",388,396,0,0,0,"UC",0
"187","KPX-BSP",396,399,0,0,0,"UC",0
"188","KPX-BSP",399,402,0,0,0,"UC",0
"189","KPX-BSP",402,410,0,0,0,"UC",0
"190","KPX-BSP",410,417,0,0,0,"UC",0
"191","KPX-BSP",417,461,0,0,0,"UC",0
"192","KPX-BSP",461,481,0,0,0,"UC",0
"193","KPX-BSP",481,484,0,0,0,"UC",0
"194","KPX-BSP",484,485,0,0,0,"UC",0
"195","KPX-BSP",485,495,0,0,0,"UC",0
"196","KPX-BSP",495,499,0,0,0,"UC",0
"197","KPX-BSP",499,534,0,0,0,"UC",0
"198","KPX-BSP",534,571,0,0,0,"UC",0
"199","KPX-BSP",571,576,0,0,0,"UC",0
"200","KPX-BSP",576,750,0,0,0,"UC",0
"201","KPX-BSP",750,760,0,0,0,"UC",0
"202","KPX-BSP",760,769,0,0,0,"UC",0
"203","KPX-BSP",769,773,0,0,0,"UC",0
"204","KPX-BSP",773,797,0,0,0,"UC",0
"205","KPX-BSP",797,817,0,0,0,"UC",0
"206","KPX-BSP",817,821,0,0,0,"UC",0
"207","KPX-BSP",821,829,0,0,0,"UC",0
"208","KPX-BSP",829,839,0,0,0,"UC",0
"209","KPX-BSP",839,851,0,0,0,"UC",0
"210","KPX-BSP",851,874,0,0,0,"UC",0
"211","KPX-BSP",874,893,0,0,0,"UC",0
"212","KPX-BSP",893,917,0,0,0,"UC",0
"213","KPX-BSP",917,934,0,0,0,"UC",0
"214","KPX-BSP",934,938,0,0,0,"UC",0
"215","KPX-BSP",938,971,0,0,0,"UC",0
"216","KPX-BSP",971,987,0,0,0,"UC",0
"217","KPX-BSP",987,1002,0,0,0,"UC",0
"218","KPX-BSP",1002,1003,0,0,0,"UC",0
