"","ID","Time1","Time2","observe","Attm","success","Group","testVal"
"100","GVX-GSS",3178,3204,1,1,0,"UC",0
"101","GVX-GSS",3204,3315,1,1,0,"UC",0
"102","GVX-GSS",3315,3334,1,1,0,"UC",0
"103","GVX-GSS",3334,3593,1,1,0,"UC",0
"104","GVX-GSS",3593,3857,1,1,0,"UC",0
"105","GVX-GSS",3857,3864,1,1,0,"UC",0
"106","GVX-GSS",3864,3885,1,1,0,"UC",0
"107","GVX-GSS",3885,3918,1,1,0,"UC",0
"108","GVX-GSS",3918,3937,1,1,0,"UC",0
"109","GVX-GSS",3937,3977,1,1,0,"UC",0
"110","GVX-GSS",3977,3990,1,1,0,"UC",0
"111","GVX-GSS",3990,4051,1,1,0,"UC",0
"112","GVX-GSS",4051,4055,1,1,0,"UC",0
"113","GVX-GSS",4055,4059,1,1,0,"UC",0
"114","GVX-GSS",4059,4114,1,1,0,"UC",0
"115","GVX-GSS",4114,4165,1,1,0,"UC",0
"116","GVX-GSS",4165,4467,1,1,0,"UC",0
"117","GVX-GSS",4467,4531,1,1,0,"UC",0
"118","GVX-GSS",4531,4732,1,1,0,"UC",0
"119","GVX-GSS",4732,4916,1,1,0,"UC",0
"120","GVX-GSS",4916,4930,1,1,0,"UC",0
"121","GVX-GSS",4930,4955,1,1,0,"UC",0
"122","GVX-GSS",4955,4964,1,1,0,"UC",0
"123","GVX-GSS",4964,4988,1,1,0,"UC",0
"124","GVX-GSS",4988,5034,1,1,0,"UC",0
"125","GVX-GSS",5034,5393,1,1,0,"UC",0
"126","GVX-GSS",5393,5480,1,1,0,"UC",0
"127","GVX-GSS",5480,5580,1,1,0,"UC",0
"128","GVX-GSS",5580,6101,1,1,0,"UC",0
"129","GVX-GSS",6101,6128,1,1,0,"UC",0
"130","GVX-GSS",6128,6133,1,1,0,"UC",0
"131","GVX-GSS",6133,6261,1,1,0,"UC",0
"132","GVX-GSS",6261,6435,1,1,0,"UC",0
"133","GVX-GSS",6435,6478,1,1,0,"UC",0
"134","GVX-GSS",6478,6513,1,1,0,"UC",0
"135","GVX-GSS",6513,6549,1,1,0,"UC",0
"136","GVX-GSS",6549,6555,1,1,0,"UC",0
"137","GVX-GSS",6555,6581,1,1,0,"UC",0
"138","GVX-GSS",6581,6603,1,1,0,"UC",0
"139","GVX-GSS",6603,6740,1,1,0,"UC",0
"140","GVX-GSS",6740,6753,1,1,0,"UC",0
"141","GVX-GSS",6753,6785,1,1,0,"UC",0
"142","GVX-GSS",6785,7085,1,1,0,"UC",0
"143","GVX-GSS",7085,7151,1,1,0,"UC",0
"144","GVX-GSS",7151,7267,1,1,0,"UC",0
"145","GVX-GSS",7267,7651,1,1,0,"UC",0
"146","GVX-GSS",7651,7881,1,1,0,"UC",0
